#virus-ID,virus-name,virus-protein
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41963|O41963_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88991|P88991_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41964|O41964_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41957|O41957_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88996|P88996_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88981|P88981_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88987|P88987_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41962|O41962_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P89653|P89653_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P89654|P89654_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41969|O41969_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41951|O41951_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41931|O41931_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41970|O41970_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41947|O41947_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41954|O41954_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88992|P88992_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41949|O41949_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88983|P88983_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88995|P88995_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41927|O41927_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88980|P88980_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88990|P88990_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41958|O41958_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41946|O41946_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41941|O41941_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,P88988|P88988_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41955|O41955_MHV68
33708,Murid gammaherpesvirus 4|MuHV-4|Murid herpesvirus 4|mouse herpesvirus 68|mouse herpesvirus strain 68|murine gammaherpesvirus 68|murine herpesvirus type 68,O41939|O41939_MHV68
1979160,Human rubulavirus 2|HPIV-2|HPIV2|PIV-2|Human parainfluenza 2 virus|Human parainfluenza virus 2|Human parainfluenza virus type 2|Parainfluenza virus type 2,NP|NP_598402
10359,Human betaherpesvirus 5|HHV-5|Human herpesvirus 5|human herpesvirus type 5,Q04234|Q04234_HCMV
1979165,Mumps rubulavirus|Mumps virus,M1VNY3|M1VNY3_9MONO
39720,Walleye dermal sarcoma virus,CYCL|CYCL_WDSV
39720,Walleye dermal sarcoma virus,ORFB|ORFB_WDSV
645098,Measles virus strain Ichinose-B95a|Measles morbillivirus strain Ichinose-B95a|Measles virus (strain Ichinose-B95a),PHOSP|PHOSP_MEASC
645098,Measles virus strain Ichinose-B95a|Measles morbillivirus strain Ichinose-B95a|Measles virus (strain Ichinose-B95a),FUS|FUS_MEASC
645098,Measles virus strain Ichinose-B95a|Measles morbillivirus strain Ichinose-B95a|Measles virus (strain Ichinose-B95a),NCAP|NCAP_MEASC
645098,Measles virus strain Ichinose-B95a|Measles morbillivirus strain Ichinose-B95a|Measles virus (strain Ichinose-B95a),HEMA|HEMA_MEASC
980087,Human adenovirus 58,E9P568|E9P568_9ADEN
644440,Infectious bursal disease virus chicken/UK/UK661/1989|Avian infectious bursal disease virus (isolate Chicken/UK/UK661/1989),RDRP|RDRP_IBDVU
928302,Hepatitis B virus C/ayr human/Japan/Okamoto|Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto),HBSAG|HBSAG_HBVCJ
928302,Hepatitis B virus C/ayr human/Japan/Okamoto|Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto),X|X_HBVCJ
928302,Hepatitis B virus C/ayr human/Japan/Okamoto|Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto),DPOL|DPOL_HBVCJ
928302,Hepatitis B virus C/ayr human/Japan/Okamoto|Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto),CAPSD|CAPSD_HBVCJ
10614,Human papillomavirus 3|Human papillomavirus - 3|Human papillomavirus type 3,VE6|VE6_HPV03
10614,Human papillomavirus 3|Human papillomavirus - 3|Human papillomavirus type 3,VE2|VE2_HPV03
10315,Human herpesvirus 2 strain HG52|Herpes simplex virus (type 2 / strain HG52)|Human herpesvirus 2 (strain HG52),VP16|VP16_HHV2H
652953,Newcastle disease virus B1/48|Newcastle disease virus (strain B1/48),PHOSP|PHOSP_NDVB1
158611,Influenza A virus (A/Paris/908/97(H3N2)),Q8JSN5|Q8JSN5_9INFA
158611,Influenza A virus (A/Paris/908/97(H3N2)),Q8JSN6|Q8JSN6_9INFA
158611,Influenza A virus (A/Paris/908/97(H3N2)),Q8JSN8|Q8JSN8_9INFA
11072,Japanese encephalitis virus|Japanese encephalitis (JE) virus|Japanese encephalitis virus JE|Japanese encephalitis virus JEV,Q8QXP6|Q8QXP6_9FLAV
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,TERM|TERM_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,E1A|E1A_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,E1BS|E1BS_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,E1B55|E1B55_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,SHUT|SHUT_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,E3GL|E3GL_ADE05
28285,Human adenovirus 5|Adenovirus 5|Adenovirus type 5|Human adenovirus C5|Human adenovirus type 5|Human mastadenovirus 5|Mastadenovirus 5|Mastadenovirus h5|adenovirus Ad5|adenovirus type 5 AD5,DNB2|DNB2_ADE05
