#virus-ID,virus-name,virus-protein
37959,Human papillomavirus 38|Human papillomavirus - 38|Human papillomavirus type 38,VE7|VE7_HPV38
12538,Mokola lyssavirus|Mokola virus,PHOSP|PHOSP_MOKV
10384,Herpesvirus saimiri (strain 488)|Herpesvirus saimiri (SUBGROUP C / STRAIN 488),TIP|TIP_SHV2C
31684,Simian immunodeficiency virus (isolate AGM / clone GRI-1),VPX|VPX_SIVG1
31684,Simian immunodeficiency virus (isolate AGM / clone GRI-1),NEF|NEF_SIVG1
31684,Simian immunodeficiency virus (isolate AGM / clone GRI-1),GAG|GAG_SIVG1
11259,Human respiratory syncytial virus A2|Human respiratory syncytial virus (strain A2),MATRX|MATRX_HRSVA
406769,Human T-cell leukemia virus 3 (strain Pyl43),TAX|TAX_HTL3P
356411,Hepatitis C virus JFH-1|Hepatitis C virus (isolate JFH-1)|Hepatitis C virus strain JFH-1,POLG|POLG_HCVJF
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),SCP|SCP_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),UL56|UL56_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),US10|US10_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),CVC1|CVC1_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),RNB|RNB_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),ICP34|ICP34_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),GH|GH_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),TEG5|TEG5_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),TRM1|TRM1_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),GB|GB_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),CVC2|CVC2_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),GC|GC_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),ICP27|ICP27_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),TRM2|TRM2_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),TRX1|TRX1_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),SCAF|SCAF_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),GD|GD_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),TRM3|TRM3_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),GK|GK_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),NEC2|NEC2_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),RIR1|RIR1_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),DNBI|DNBI_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),US02|US02_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),SHUT|SHUT_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),MB43|MB43_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),RIR2|RIR2_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),OBP|OBP_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),TEG6|TEG6_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),GM|GM_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),VP22|VP22_HHV11
10299,Human alphaherpesvirus 1 strain 17|Herpes simplex virus (type 1 / strain 17),CEP1|CEP1_HHV11
