#DrugBank-ID,host-protein-ID,gene
1558,18936,GABRR3
1558,1912,GABRE
1558,1909,GABRB1
1558,12572,GABRQ
1558,1917,GABRR2
1558,1908,GABRA6
1558,1910,GABRB3
1558,1907,GABRA5
1558,1903,GABRA1
1558,1915,GABRP
1558,1914,GABRG3
5540,16841,ADSSL1
5540,154,ADSS
5372,1009,CNR1
7250,1595,EPHB4
3072,138,PARP1
1771,4206,PRSS1
2596,21190,NMNAT3
8256,1598,EPHX2
8815,2550,HTR2A
8815,147,ADRA2C
8815,2545,HTR1A
8815,1421,DRD2
8815,145,ADRA2A
8815,2557,HTR7
2131,125,ADH1C
7357,43,ABO
35,459,AVPR1A
35,460,AVPR1B
35,461,AVPR2
90,1822,FOLH1
221,149,ADRB2
221,148,ADRB1
5229,4284,PTGIR
8819,4282,PTGFR
8167,57,ACHE
6089,2867,KCNQ3
6089,6662,KCNQ4
6089,12738,KCNQ5
6089,2866,KCNQ2
6089,2865,KCNQ1
3003,2227,GSTP1
3003,2217,GSTA1
3003,2225,GSTM4
6506,2545,HTR1A
2719,4355,PYGM
5467,4411,RARG
616,3245,MME
616,1304,ACE
1949,3251,MMP9
1038,1420,DRD1
1038,1421,DRD2
2604,4355,PYGM
798,1347,DHFR
798,3045,LRP2
3950,618,CA2
5442,2675,IL1B
4444,2076,GNAT1
4444,13217,MYH14
4444,11420,CMPK1
4444,412,ATP2A1
4444,2067,GNAI1
4444,3412,MYH11
3760,1982,GCSH
3760,1360,DLAT
3760,3815,PDK3
1203,149,ADRB2
1203,148,ADRB1
5223,2328,HDAC2
5223,7382,HDAC6
5223,6456,HDAC3
5223,2327,HDAC1
4527,7987,MASP2
2889,243,AMY2A
9369,1627,ESR1
8779,910,CHEK1
1224,145,ADRA2A
1224,2547,HTR1D
1224,2557,HTR7
1224,2556,HTR6
1224,924,CHRM2
1224,2545,HTR1A
1224,1422,DRD3
1224,2546,HTR1B
1224,142,ADRA1A
1224,142,ADRA1D
1224,2553,HTR3A
1224,143,ADRA1B
1224,1323,HRH1
1224,2548,HTR1E
1224,1423,DRD4
1224,927,CHRM4
1224,1420,DRD1
1224,1421,DRD2
1224,928,CHRM5
1224,146,ADRA2B
1224,926,CHRM3
1224,923,CHRM1
1224,2552,HTR2C
1224,2550,HTR2A
1224,147,ADRA2C
2300,5646,VDR
5212,3536,NFKB1
5212,3537,NFKB2
915,1421,DRD2
915,16603,GRIN3A
915,934,CHRNA7
915,931,CHRNA3
915,932,CHRNA4
9225,2557,HTR7
9225,1421,DRD2
9225,4898,SLC6A4
9225,4896,SLC6A2
9225,2556,HTR6
9225,2550,HTR2A
2559,1347,DHFR
2448,10826,PLA2G2E
2448,3944,PLA2G2A
2448,3943,PLA2G1B
226,4896,SLC6A2
555,633,CACNA1E
555,3675,OPRK1
555,4732,SCN2A
555,1421,DRD2
555,2553,HTR3A
555,132,ADORA1
555,145,ADRA2A
555,148,ADRB1
555,1323,HRH1
555,142,ADRA1A
555,133,ADORA2A
555,2550,HTR2A
2573,4509,RNASE1
2363,4509,RNASE1
4930,4730,SCN1A
4930,1627,ESR1
4930,6468,NR1I2
9088,18521,TRPV3
8155,617,CA1
8155,618,CA2
7006,5678,WEE1
8855,12930,CYSLTR2
8855,8028,CYSLTR1
8855,3286,ABCC1
9078,1756,FGFR1
9078,1757,FGFR3
9078,1806,FLT1
9078,1809,FLT4
9078,2871,KDR
9078,1759,FGFR2
9078,2892,KIT
9078,1760,FGFR4
1644,2215,GSR
1840,11282,ISYNA1
7787,138,PARP1
1548,7546,TRIM13
1548,3675,OPRK1
1548,3677,OPRM1
1548,3674,OPRD1
1854,361,ART1
2492,3120,MAN2A1
2919,1347,DHFR
5966,1628,ESR2
5966,1627,ESR1
4450,4493,RHO
3448,4512,RNASE4
3448,4509,RNASE1
1083,1700,FASN
1083,6188,LIPF
1083,4006,PNLIP
3046,3951,PLAU
5015,4462,RET
13761,3039,LPL
1031,618,CA2
1031,617,CA1
4010,138,PARP1
5679,2707,IL12B
7765,26136,DHRS4L1
63,2785,ITGB3
723,142,ADRA1D
723,143,ADRA1B
723,142,ADRA1A
8374,1202,CTRB1
966,173,AGTR1
966,4058,PPARG
7179,834,CDK2
3612,2299,HADH
11087,6468,NR1I2
7028,209,AKR1B1
6654,3124,MAOB
392,924,CHRM2
392,923,CHRM1
392,16603,GRIN3A
8259,1598,EPHX2
527,654,CALM1
527,4737,SCN5A
527,4741,SCN10A
975,3690,ORM1
975,102,ADA
975,1434,RCAN1
975,3791,PDE4A
975,8069,PDE10A
975,6306,PDE5A
3554,1414,DPYD
3424,3054,LTA4H
7804,1671,F10
2568,3589,PNP
6852,910,CHEK1
7395,4354,PYGL
5141,286,BIRC5
882,1627,ESR1
882,4838,SHBG
1412,133,ADORA2A
1412,3792,PDE4B
1412,132,ADORA1
4846,145,ADRA2A
4846,150,ADRB3
4846,148,ADRB1
4846,146,ADRA2B
4846,149,ADRB2
4846,147,ADRA2C
777,926,CHRM3
777,1420,DRD1
777,2552,HTR2C
777,927,CHRM4
777,1323,HRH1
777,142,ADRA1A
777,924,CHRM2
777,1423,DRD4
777,143,ADRA1B
777,923,CHRM1
777,142,ADRA1D
777,1421,DRD2
777,928,CHRM5
777,2550,HTR2A
7440,1661,F2
7592,1209,CTSK
4703,6721,AURKB
1169,2673,IKBKB
1169,2327,HDAC1
1169,3991,PML
1169,842,CDKN1A
1169,487,CCND1
1169,5547,TXNRD1
1169,187,AKT1
1169,4165,MAPK3
1169,4164,MAPK1
1169,2812,JUN
5301,684,CASP1
5301,3960,PLD1
7228,910,CHEK1
562,628,CA12
562,626,CA9
562,620,CA4
562,617,CA1
562,618,CA2
3214,15503,ACCS
3214,19655,IL4I1
989,57,ACHE
989,484,BCHE
2529,5707,NA
8423,1142,MAPK14
8156,617,CA1
8156,618,CA2
3176,5351,THRB
3176,5350,THRA
4113,125,ADH1C
11811,4058,PPARG
1611,209,AR
1611,11569,TLR9
1611,11159,TLR7
8067,2809,JAK2
5383,209,AKR1B1
5383,3576,NOS2
5383,5361,TIMP3
2353,4754,CCL5
1541,209,AR
161,482,BCAT1
161,5634,VARS
161,3761,PCCB
7941,1142,MAPK14
7143,1661,F2
5305,2710,IL13
993,4377,RAC1
993,2480,HPRT1
11221,4838,SHBG
878,1743,FGF2
7168,666,CAMK2B
2472,102,ADA
12569,132,ADORA1
3598,618,CA2
7260,3054,LTA4H
537,5428,TOP2A
537,2840,KCNH2
4893,1821,FNTB
4893,1819,FNTA
1908,5056,SRC
7557,6302,NCOA1
7557,5060,AKR1D1
7557,4678,RXRA
854,3677,OPRM1
854,3675,OPRK1
854,3674,OPRD1
9198,4058,PPARG
1917,148,ADRB1
1917,149,ADRB2
1917,3659,ODC1
1917,227,AMD1
7678,1627,ESR1
7678,7796,NCOA2
1951,1770,FKBP1A
7,2094,GNRHR
6752,4128,PRG2
5166,17559,GPR119
424,926,CHRM3
424,924,CHRM2
424,927,CHRM4
424,923,CHRM1
13985,5089,SSTR4
13985,5088,SSTR2
2966,2176,GRIA2
2936,3944,PLA2G2A
7358,1974,GCK
11090,2840,KCNH2
5299,2679,IL2
189,4238,PSMB1
4542,3565,NME1
7790,834,CDK2
11112,1968,GC
134,3345,MTR
134,517,BHMT
134,8187,METAP2
134,9155,BHMT2
134,3348,MTRR
2350,3248,MMP3
8703,3233,MAP3K9
1725,4206,PRSS1
1725,3951,PLAU
1725,1661,F2
13915,757,CD19
7313,8187,METAP2
254,9064,PADI4
254,465,B2M
911,5646,VDR
57,6638,FCGR2C
2859,47,ACACB
7220,834,CDK2
6366,1607,ERBB2
2297,834,CDK2
954,2549,HTR1F
2072,4306,PTPN1
3021,68,ACTA1
5607,2551,HTR2B
7596,618,CA2
3241,1554,SAP2
108,1719,FCGR3B
108,580,C1QA
108,582,C1QC
108,2773,ITGA4
108,2565,ICAM1
108,583,C1R
108,1716,FCGR2A
108,1714,FCGR1A
108,581,C1QB
108,1718,FCGR3A
108,6638,FCGR2C
108,1717,FCGR2B
6090,934,CHRNA7
8186,6463,KAT2B
13746,13567,NOD2
13746,629,CACNA1A
9186,4898,SLC6A4
1420,209,AR
2751,1937,GAMT
5084,4290,PTH1R
6831,3920,PIK3CD
6831,3921,PIK3CG
6772,14700,TUBB1
6772,5532,TUBA4A
6616,834,CDK2
6616,40,ABL1
6616,4175,MAP2K2
6616,4174,MAP2K1
6616,3073,LYN
6616,502,BCR
6616,668,CAMK2G
6616,5056,SRC
6616,2321,HCK
6616,7986,MAP3K2
2087,618,CA2
7964,5172,ADAM17
1587,1903,GABRA1
1587,1911,GABRD
1587,1912,GABRE
1587,1909,GABRB1
1587,576,TSPO
1587,1913,GABRG1
8353,1163,CSNK2A1
2979,3577,NOS3
7720,936,CHRNB2
7720,932,CHRNA4
7720,934,CHRNA7
7720,930,CHRNA2
7720,931,CHRNA3
7720,15838,CHRFAM7A
7720,938,CHRNB4
4938,1627,ESR1
7368,4206,PRSS1
4352,11462,NUDT9
3130,2043,GLO1
7001,3577,NOS3
13149,4192,PROC
13149,1671,F10
13149,1666,F5
4295,4355,PYGM
5235,1138,CRYM
5235,5350,THRA
2166,57,ACHE
255,209,AR
255,1631,ESRRG
255,4838,SHBG
255,6468,NR1I2
255,1629,ESRRA
255,7796,NCOA2
255,1627,ESR1
255,1628,ESR2
255,1630,ESRRB
2158,3317,MTAP
3095,1927,GALE
5413,3767,SERPINA5
2852,2183,GRIK2
942,923,CHRM1
2466,4411,RARG
1252,4058,PPARG
1252,5147,ABCC8
1902,3624,NSF
1902,12744,ERO1B
3484,263,ANXA5
7683,3254,MMP12
3792,4509,RNASE1
7390,3248,MMP3
7783,102,ADA
2056,8397,PTGDR2
2056,6298,AKR1C3
3945,13550,ELSPBP1
3945,1117,CRP
8087,209,AR
6990,5612,UNG
12483,3917,PIK3CA
12483,3920,PIK3CD
8898,928,CHRM5
3666,1447,DTYMK
7875,1671,F10
1244,3803,PDE1B
1244,629,CACNA1A
1244,6513,CACNA1H
1244,5412,TNNC1
1244,2840,KCNH2
1244,6751,CACNA2D2
1244,2865,KCNQ1
1244,401,ATP1A1
1244,654,CALM1
7120,1661,F2
8784,13047,NMRAL1
1901,1742,FGF1
1901,1759,FGFR2
5458,936,CHRNB2
5458,932,CHRNA4
286,1627,ESR1
8096,1142,MAPK14
8773,7796,NCOA2
8773,1627,ESR1
9235,6512,CACNA1I
9235,631,CACNA1C
2933,3317,MTAP
8593,4306,PTPN1
13930,4164,MAPK1
13930,4165,MAPK3
5876,3791,PDE4A
7958,10826,PLA2G2E
3245,1969,GCDH
5268,4391,RAF1
3368,3248,MMP3
494,1046,COMT
3983,5139,SUOX
780,1407,GPT
780,33,ABAT
780,3123,MAOA
780,1919,GAD65
780,3124,MAOB
780,15521,GPT2
780,6294,AOC3
2490,949,CKM
1395,209,AR
1395,3875,PGR
8547,2641,IGHG2
5595,1823,FOLR1
3344,6759,CYTH3
7073,3921,PIK3CG
4950,2547,HTR1D
5049,2553,HTR3A
4800,4306,PTPN1
8129,4009,PNMT
2890,5610,UMPS
7154,1411,DPP4
7882,2649,IGKC
7829,1142,MAPK14
3616,68,ACTA1
2613,4008,PNLIPRP2
2613,1349,DHODH
4801,4057,PPARD
8482,3246,MMP1
3555,4206,PRSS1
2825,57,ACHE
9532,4747,SCTR
2689,330,ARG1
6460,1489,EDNRB
6460,1488,EDNRA
8786,2527,HSP90AA1
158,1825,FOLR3
158,1824,FOLR2
158,1823,FOLR1
107,3703,OXTR
107,3702,OXT
949,2188,GRIN2B
949,16603,GRIN3A
2152,4174,MAP2K1
7144,1347,DHFR
1942,7582,GPHN
1942,3575,NOS1
1942,4509,RNASE1
1942,6244,CASK
1942,1188,CTBP1
1942,6760,CYTH2
1942,618,CA2
1942,101,ACYP2
1942,2407,HMOX1
1942,15817,GGACT
1942,3143,PVALB
1942,1742,FGF1
7190,1661,F2
7149,2212,GSK3B
1199,930,CHRNA2
1199,57,ACHE
1199,2553,HTR3A
1199,934,CHRNA7
2358,3328,MTHFD1
8383,8069,PDE10A
4397,3872,PGM1
4337,3143,MB
5471,3537,NFKB2
5471,3536,NFKB1
130,1201,CTPS1
130,2055,GLUL
130,4061,PPAT
7978,1349,DHODH
8436,2527,HSP90AA1
1121,4730,SCN1A
8175,7424,NR1H3
8175,7796,NCOA2
8175,4679,RXRB
9212,4287,PTGS1
9212,4288,PTGS2
8489,3249,MMP7
3918,3577,NOS3
8363,5432,TP53
641,2402,HMGCR
641,2784,ITGB2
641,2779,ITGAL
1242,2550,HTR2A
1242,2551,HTR2B
1242,4898,SLC6A4
1242,2552,HTR2C
1242,2227,GSTP1
1242,4896,SLC6A2
7556,3246,MMP1
7556,3254,MMP12
13996,401,ATP1A1
2073,3143,MB
2073,2407,HMOX1
2073,527,BLVRB
6410,5646,VDR
8247,834,CDK2
3319,2176,GRIA2
5307,1310,DDC
496,928,CHRM5
496,927,CHRM4
496,923,CHRM1
496,926,CHRM3
496,924,CHRM2
446,1277,CD55
1218,2840,KCNH2
1218,1264,CYP19A1
2690,138,PARP1
2705,3951,PLAU
8995,179,AHR
139,3973,PLOD1
139,6602,SLC13A2
139,6117,BBOX1
139,6420,SUCLG2
139,6549,PLOD3
139,6546,P4HA2
139,4785,SDHD
139,12766,SUCNR1
139,3701,OXCT1
139,13528,OXCT2
139,379,ASPH
139,5900,ALDH5A1
139,4782,SDHA
139,7822,P3H3
139,13758,SLC13A3
139,12140,P3H2
139,3714,P4HA1
139,6421,SUCLG1
139,6285,HSD17B6
139,4784,SDHC
139,4783,SDHB
139,6422,SUCLA2
139,1172,SLC25A10
139,4923,SLC13A1
139,12143,TMLHE
139,13585,P3H1
2095,3124,MAOB
468,2864,KCNN4
468,2108,GP9
468,5428,TOP2A
36,1671,F10
36,5322,TFPI
36,1013,F3
36,2000,GGCX
36,2478,HPN
36,1667,F7
3201,1078,CPA1
2029,1598,EPHX2
7315,4354,PYGL
3957,2679,IL2
7633,43,ABO
3725,3768,PCK1
1025,2683,IL3
1025,4698,S100A12
1025,4699,S100A13
1025,1742,FGF1
7024,834,CDK2
3153,2480,HPRT1
7211,1671,F10
7211,1661,F2
7131,4206,PRSS1
7131,1661,F2
4932,132,ADORA1
4932,133,ADORA2A
4932,134,ADORA2B
4233,982,CLPS
4233,4006,PNLIP
4233,4493,RHO
3070,2726,IMPDH2
5507,2675,IL1B
5507,684,CASP1
2547,2060,GMDS
3093,2527,HSP90AA1
8675,4285,PTGIS
3103,3565,NME1
2093,2112,GPI
13173,2623,IGF2R
2325,5904,DDX39B
2325,12177,ADI1
2325,65,ACP5
2325,5982,GDF5
2325,916,CHIT1
2325,178,AHCY
2325,1972,GCH1
2325,5404,TNF
2325,7018,PRDX6
2325,3944,PLA2G2A
2325,4207,PRSS2
2325,11083,DCXR
2325,4509,RNASE1
2325,6368,RNGTT
2325,2058,GM2A
4832,4898,SLC6A4
4832,3124,MAOB
4832,3123,MAOA
8618,2641,IGHG2
3910,3577,NOS3
6274,3677,OPRM1
6274,3675,OPRK1
6274,3674,OPRD1
5115,2748,INSR
1307,2748,INSR
1958,18929,DHFRL1
2671,3143,MB
80,6638,FCGR2C
7026,3254,MMP12
3672,484,BCHE
7946,1661,F2
812,4287,PTGS1
812,4288,PTGS2
812,4285,PTGIS
682,6468,NR1I2
682,13891,VKORC1
4549,618,CA2
2742,3120,MAN2A1
2742,8399,MAN1B1
3392,4355,PYGM
855,189,ALAD
1723,1770,FKBP1A
7498,209,AKR1B1
1767,4206,PRSS1
1767,1661,F2
6151,9129,SLC7A11
6151,942,CHUK
6151,2216,GSS
6151,2188,GRIN2B
6151,2190,GRIN2D
6151,99,ACY1
6151,2187,GRIN1
6151,2673,IKBKB
6151,16603,GRIN3A
4581,9228,QPCT
3345,3893,SERPINA1
3345,2043,GLO1
3345,8587,SCMH1
3345,2993,LGALS1
3345,12094,PNPO
7231,1204,CTSB
8869,2011,GHRHR
5332,3275,MPL
8021,4172,MAPK10
2491,1759,FGFR2
8257,1598,EPHX2
4758,1667,F7
240,2192,NR3C1
205,2335,HEXB
205,1347,DHFR
8588,1411,DPP4
1987,13753,por
5157,4173,MAPK13
5157,4712,MAPK12
5157,4170,MAPK11
5157,1142,MAPK14
1179,5534,TUBB
1179,5532,TUBA4A
1179,5428,TOP2A
1442,3124,MAOB
1442,4897,SLC6A3
1442,4896,SLC6A2
1442,4932,SLC18A2
1442,4898,SLC6A4
1442,3123,MAOA
1442,2550,HTR2A
1442,4931,SLC18A1
2336,5056,SRC
4185,1958,GATM
4185,3694,OTC
4272,517,BHMT
4272,13391,PLEKHA1
4272,5056,SRC
4272,5609,UCK2
4272,246,ANG
4272,6306,PDE5A
4272,1141,CS
4272,600,C8G
4272,3223,MIF
4272,8323,LSM6
4272,4511,RNASE3
4272,13324,CTDSP1
4272,7334,HS3ST3A1
4272,4509,RNASE1
4272,6674,HGS
4272,9920,GNMT
4272,1081,CPB1
4272,304,APRT
4272,7940,TNFSF13B
4272,209,AKR1B1
4272,3170,MDH2
4272,19655,IL4I1
4272,2798,ITPA
11186,3677,OPRM1
11186,7614,SIGMAR1
11186,3675,OPRK1
11186,2840,KCNH2
6549,510,BDKRB2
7138,1142,MAPK14
4638,412,ATP2A1
2395,1352,NQO1
11640,2820,KCNA1
6403,1489,EDNRB
6403,1488,EDNRA
8094,834,CDK2
2800,4844,SHMT1
9295,4288,PTGS2
9295,4287,PTGS1
9295,968,CLCNKA
1390,641,CACNB4
7435,8232,POLK
9237,3576,NOS2
9237,3577,NOS3
9237,631,CACNA1C
7835,1142,MAPK14
6155,1009,CNR1
6155,6774,GPR55
9074,7401,PARP2
9074,7402,PARP3
9074,138,PARP1
9290,2553,HTR3A
7174,4457,REN
7827,3255,MMP13
8867,3875,PGR
8867,2192,NR3C1
8867,209,AR
5913,1806,FLT1
5913,2892,KIT
3980,1142,MAPK14
1107,1903,GABRA1
1205,1903,GABRA1
1205,1907,GABRA5
8529,6909,GGPS1
6867,3926,PIN1
9119,3706,P2RX4
2376,2981,LCT
2670,6150,SMARCA5
4140,3248,MMP3
26,2676,IL1R1
472,930,CHRNA2
472,953,CKS1B
472,2552,HTR2C
472,938,CHRNB4
472,931,CHRNA3
472,2840,KCNH2
472,4898,SLC6A4
9118,2984,LDHB
9118,201,ALDH3B2
9118,2982,LDHA
8453,5619,UQCRC1
8453,9840,UQCRQ
8453,1228,CYC1
8453,10712,UQCR10
8453,5621,UQCRFS1
8453,5620,UQCRC2
8453,5622,UQCRH
8453,8177,UQCR11
8453,3325,MT-CYB
8453,5618,UQCRB
2218,244,AMY2B
2218,243,AMY2A
7605,1671,F10
5829,4291,PTH2R
5829,4290,PTH1R
1297,148,ADRB1
7064,2903,KIF11
898,930,CHRNA2
898,1908,GABRA6
898,934,CHRNA7
898,2419,SLC29A2
898,631,CACNA1C
898,1577,SLC29A1
898,1907,GABRA5
898,1912,GABRE
898,5639,VCAM1
898,2846,KCNJ6
898,2843,KCNJ3
898,2848,KCNJ9
898,6545,CHRNA6
898,20167,HTR3E
898,2046,GLRA2
898,2045,GLRA1
898,642,CACNG1
898,932,CHRNA4
898,635,CACNA1S
898,2176,GRIA2
898,2950,L1CAM
898,638,CACNB1
898,18930,HTR3D
898,1913,GABRG1
898,1910,GABRB3
898,12337,CHRNA9
898,6694,HTR3B
898,1914,GABRG3
898,1915,GABRP
898,2175,GRIA1
898,1911,GABRD
898,933,CHRNA5
898,1903,GABRA1
898,936,CHRNB2
898,1909,GABRB1
898,632,CACNA1D
898,938,CHRNB4
898,7686,CACNG2
898,1906,GABRA4
898,12572,GABRQ
898,2553,HTR3A
898,1904,GABRA2
898,931,CHRNA3
898,937,CHRNB3
898,2178,GRIA4
898,12906,CHRNA10
898,1905,GABRA3
898,16603,GRIN3A
898,18722,HTR3C
898,2845,KCNJ5
898,2177,GRIA3
3374,4140,PKIA
3374,4206,PRSS1
3374,4137,PRKACA
3374,21989,IYD
9318,1627,ESR1
757,2553,HTR3A
3109,916,CHIT1
8174,1671,F10
2963,834,CDK2
3531,41,DAO
8138,834,CDK2
8661,4509,RNASE1
2953,3250,MMP8
589,2550,HTR2A
589,147,ADRA2C
589,2557,HTR7
589,2547,HTR1D
589,1423,DRD4
589,2552,HTR2C
589,1420,DRD1
589,145,ADRA2A
589,146,ADRA2B
589,1422,DRD3
589,2545,HTR1A
589,2546,HTR1B
589,2551,HTR2B
589,1421,DRD2
5848,2707,IL12B
8218,834,CDK2
8218,722,CCNA2
2633,1352,NQO1
2633,2227,GSTP1
771,923,CHRM1
8760,4058,PPARG
7652,8232,POLK
8749,9103,BACE1
9148,303,APP
13896,6100,PLA2G10
733,484,BCHE
733,57,ACHE
144,6200,DGKD
144,12372,SMPD4
144,1281,DGKG
144,12304,SMPD3
144,7192,PTDSS1
144,4148,PRKCA
144,14852,PTDSS2
144,7210,PISD
144,775,SCARB1
144,7705,ATP8A1
5266,3789,PDE3A
5266,3791,PDE4A
5266,3793,PDE4C
5266,3792,PDE4B
5266,3794,PDE4D
8560,4058,PPARG
9121,110,ADCY2
9121,112,ADCY5
9121,109,ADCY1
880,617,CA1
880,618,CA2
7616,9965,HPGDS
977,4838,SHBG
977,1627,ESR1
977,6468,NR1I2
1571,3675,OPRK1
1571,3674,OPRD1
1571,3677,OPRM1
2779,4312,PTPN11
7182,1081,CPB1
7789,3969,PLK1
6840,4206,PRSS1
2731,3701,OXCT1
498,13891,VKORC1
873,2192,NR3C1
1766,3926,PIN1
1766,1661,F2
1766,6237,YARS
4213,1598,EPHX2
680,4737,SCN5A
5104,3675,OPRK1
6021,1607,ERBB2
6021,1516,EGFR
138,8304,SLC7A9
138,1196,CTNS
138,9129,SLC7A11
138,4885,SLC3A1
823,3875,PGR
823,1627,ESR1
7514,2871,KDR
11767,1717,FCGR2B
11767,1714,FCGR1A
11767,1716,FCGR2A
11767,1719,FCGR3B
11767,2690,IL6R
11767,1718,FCGR3A
3114,5056,SRC
9462,5335,TGFBR2
9462,11282,ISYNA1
9462,10826,PLA2G2E
9462,6604,PAPSS1
9462,124,ADH1B
9462,2227,GSTP1
9462,3723,PAEP
9462,1398,TRDMT1
9462,2802,ITPR1
9462,3441,NAGA
9462,4057,PPARD
9462,323,ARF1
9462,9965,HPGDS
7977,1349,DHODH
896,2192,NR3C1
3042,2112,GPI
6267,6306,PDE5A
5052,1628,ESR2
11611,2779,ITGAL
311,624,CA7
311,620,CA4
311,617,CA1
311,618,CA2
311,619,CA3
4368,6960,PDF
7665,1661,F2
8157,617,CA1
8157,618,CA2
8148,4140,PKIA
8148,4137,PRKACA
7926,3246,MMP1
1969,1141,CS
859,209,AR
7160,1204,CTSB
1217,1264,CYP19A1
13133,1014,COL1A1
13133,1669,F8
9286,1420,DRD1
9286,145,ADRA2A
9286,2551,HTR2B
9286,1423,DRD4
9286,2550,HTR2A
9286,1422,DRD3
9286,1421,DRD2
2551,3951,PLAU
12733,2199,GRM5
213,419,ATP4A
1030,5425,TOP1
1030,16605,TOP1MT
716,8028,CYSLTR1
716,1830,FPR1
716,2527,HSP90AA1
716,12930,CYSLTR2
716,4276,PTGDR
4591,1661,F2
1432,1627,ESR1
5796,3245,MME
7642,10602,DCPS
12465,2550,HTR2A
3101,3589,PNP
7469,13217,MYH14
3602,2217,GSTA1
3602,2043,GLO1
8699,668,CAMK2G
187,148,ADRB1
4959,8895,UBR4
4959,2924,KRT7
6479,3791,PDE4A
5120,2748,INSR
8520,1770,FKBP1A
1569,2504,HSD11B2
230,629,CACNA1A
7889,834,CDK2
2647,834,CDK2
12695,5588,UCHL1
12695,4398,RANBP1
12695,18132,FBXO41
12695,8152,SF3A3
12695,2518,HSPA4
12695,7692,TUBB3
12695,5546,TXN
12695,7904,ATP5L
12695,70,ACTB
12695,5722,YWHAE
12695,4960,SMARCE1
12695,2536,HSPE1
12695,6420,SUCLG2
12695,14668,CYB5B
12695,8035,HSPH1
12695,5533,TUBA3C
12695,7969,NUDC
12695,8173,YWHAQ
12695,7694,TUBB4B
12695,3739,PAPPA
12695,2425,HNRNPF
12695,5654,VIM
12695,4233,PSMA3
12695,5532,TUBA4A
12695,14700,TUBB1
12695,5444,TPM4
12695,5438,TPD52L2
12695,5725,YWHAZ
12695,5443,TPM3
12695,2525,HSPB1
12695,5534,TUBB2A
12695,5721,YWHAB
12695,3334,MT-ND1
12695,12746,DIABLO
12695,5724,YWHAH
12695,6633,USP14
12695,434,ATP5I
12695,5441,TPM1
12695,4251,PSMC3
12695,4696,S100A10
12695,69,ACTA2
12695,424,ATP5B
12695,5880,TUBA1A
12695,2430,HNRNPK
12695,5641,VCP
3708,6604,PAPSS1
7206,9103,BACE1
1173,4741,SCN10A
1173,2190,GRIN2D
1173,16604,GRIN3B
1173,1323,HRH1
1173,16603,GRIN3A
1173,4896,SLC6A2
1173,2187,GRIN1
1664,2176,GRIA2
3310,2223,GSTM2
3310,2215,GSR
8879,7940,TNFSF13B
15,3963,PLG
15,3730,SERPINE1
15,1739,FGA
15,3952,PLAUR
6971,3250,MMP8
749,4678,RXRA
749,4287,PTGS1
749,4288,PTGS2
2861,618,CA2
29,1739,FGA
29,3963,PLG
29,3730,SERPINE1
29,3952,PLAUR
7888,3223,MIF
7247,1013,F3
7247,1667,F7
2107,23107,SPINK6
2648,11741,CROT
2648,1101,CRAT
5308,5549,TYMS
1403,1420,DRD1
1403,924,CHRM2
1403,926,CHRM3
1403,143,ADRA1B
1403,2552,HTR2C
1403,1422,DRD3
1403,1421,DRD2
1403,147,ADRA2C
1403,2550,HTR2A
1403,1323,HRH1
1403,142,ADRA1A
1403,1423,DRD4
1403,145,ADRA2A
1403,923,CHRM1
1403,146,ADRA2B
1403,928,CHRM5
1403,927,CHRM4
1403,142,ADRA1D
8053,5056,SRC
3385,621,CA5A
3385,618,CA2
3385,3143,MB
4682,5405,TNNC2
9244,2545,HTR1A
9244,3123,MAOA
9244,145,ADRA2A
11324,5662,TRPV1
3744,4354,PYGL
28,1717,FCGR2B
28,588,C4A
28,1714,FCGR1A
28,586,C3
28,1718,FCGR3A
28,594,C5
28,588,C4B
28,6638,FCGR2C
28,1716,FCGR2A
28,1715,FCGR1B
28,1719,FCGR3B
2871,125,ADH1C
822,196,ALDH2
822,1292,DBH
7266,5118,AURKA
7639,1661,F2
4872,5174,TACR3
4593,1667,F7
8301,618,CA2
4985,2968,RPSA
4270,4058,PPARG
9327,1414,DPYD
9327,5549,TYMS
5122,2790,ITGB7
5122,2786,ITGB4
5122,2773,ITGA4
540,926,CHRM3
540,142,ADRA1D
540,4898,SLC6A4
540,923,CHRM1
540,928,CHRM5
540,2556,HTR6
540,142,ADRA1A
540,2545,HTR1A
540,2552,HTR2C
540,1323,HRH1
540,1421,DRD2
540,2550,HTR2A
540,927,CHRM4
540,924,CHRM2
540,4896,SLC6A2
540,143,ADRA1B
2144,3931,PITPNA
6931,6909,GGPS1
2373,1765,FHIT
2211,3124,MAOB
7563,1209,CTSK
340,923,CHRM1
340,927,CHRM4
340,924,CHRM2
340,926,CHRM3
340,928,CHRM5
2759,3075,LYZ
5109,1893,G6PD
886,1304,ACE
886,3245,MME
2207,3577,NOS3
2207,3576,NOS2
6137,5056,SRC
5041,5615,UPP1
5041,18184,UPP2
6521,4056,PPARA
6521,4058,PPARG
6521,2673,IKBKB
6521,4306,PTPN1
1955,10826,PLA2G2E
1955,8399,MAN1B1
1955,3944,PLA2G2A
5249,1150,CSF3R
1600,4287,PTGS1
1600,4288,PTGS2
6623,145,ADRA2A
3752,4287,PTGS1
6240,3876,ABCB1
862,3799,PDE6H
862,3798,PDE6G
862,6306,PDE5A
991,4287,PTGS1
991,4288,PTGS2
3573,6359,CTSF
12872,1014,COL1A1
12872,1669,F8
