#DrugBank-ID,host-protein-ID,gene
1929,18929,DHFRL1
7593,1209,CTSK
8426,1671,F10
2784,4306,PTPN1
5495,3251,MMP9
5510,57,ACHE
7286,209,AR
4865,4571,RPL3
1750,4868,SKP1
13503,57,ACHE
1427,5404,TNF
1427,3792,PDE4B
1427,3789,PDE3A
168,14685,TAS1R2
168,5662,TRPV1
168,15086,TAS1R3
5398,755,CD9
2778,1708,FBP1
4781,189,ALAD
8214,3576,NOS2
8574,3241,MLLT4
3276,2170,GRB2
7584,187,AKT1
7584,2212,GSK3B
7982,834,CDK2
3701,4897,SLC6A3
2343,57,ACHE
997,5428,TOP2A
997,6729,NOLC1
997,7001,GABBR2
9203,142,ADRA1D
703,618,CA2
703,624,CA7
703,620,CA4
703,619,CA3
703,617,CA1
1428,3875,PGR
1428,1628,ESR2
1428,209,AR
1428,1627,ESR1
4661,740,CD1D
4716,5548,TYK2
4716,2809,JAK2
4716,1286,DAPK3
4716,2810,JAK3
4716,2808,JAK1
1667,3589,PNP
8519,2871,KDR
3019,834,CDK2
5578,2871,KDR
9061,6512,CACNA1I
9061,6514,CACNA1G
9061,11242,TRPV2
9061,6513,CACNA1H
9061,2045,GLRA1
9061,4058,PPARG
9061,934,CHRNA7
9061,5662,TRPV1
9061,2545,HTR1A
9061,1009,CNR1
9061,2553,HTR3A
9061,3677,OPRM1
9061,5642,VDAC1
9061,13928,TRPM8
9061,2126,GPR12
9061,3674,OPRD1
9061,18521,TRPV3
9061,132,ADORA1
9061,6774,GPR55
9061,13394,TRPV4
9061,5928,GLRA3
9061,6553,TRPA1
9061,2550,HTR2A
9061,2130,GPR18
9061,1010,CNR2
6422,2554,HTR4
6422,2553,HTR3A
936,4287,PTGS1
936,4288,PTGS2
936,1311,AKR1C1
202,924,CHRM2
202,934,CHRNA7
202,12906,CHRNA10
202,923,CHRM1
202,926,CHRM3
4770,6238,PDXK
239,6468,NR1I2
1327,4037,PON1
1327,2713,IL15
1327,2679,IL2
5992,5404,TNF
4391,4206,PRSS1
6732,1627,ESR1
6732,5314,NR2F1
6732,1629,ESRRA
6732,1234,CYP1B1
6732,179,AHR
6715,17413,TAAR1
2396,3143,MB
12865,696,CASR
7324,2527,HSP90AA1
2464,4206,PRSS1
2464,4207,PRSS2
3403,5609,UCK2
3403,11420,CMPK1
12334,5534,TUBB
12334,14700,TUBB1
5712,1082,CPB2
3323,244,AMY2B
5037,803,CDK1
5037,834,CDK2
7458,4137,PRKACA
8739,4125,PREP
6550,785,CD44
1204,5428,TOP2A
1204,149,ADRB2
1812,5138,SULT2B1
1812,5112,SULT1E1
1812,7336,HS3ST1
1812,4509,RNASE1
1812,7334,HS3ST3A1
1812,5135,SULT1A1
1812,2540,NDST1
1812,5140,SULT2A1
1812,4510,RNASE2
1812,9945,SULT1B1
5990,7349,NR1H4
11672,7419,ABCC5
11672,713,CBR1
11672,5646,VDR
11672,4058,PPARG
11672,2227,GSTP1
8170,3249,MMP7
7379,838,CDK6
5198,2871,KDR
5198,5118,AURKA
9130,2668,IGLL1
9130,298,APOC3
9130,2429,HNRNPH3
9130,2527,HSP90AA1
9130,584,C1S
9130,5721,YWHAB
9130,79,ACTG1
9130,2901,KNG1
9130,99,ACY1
9130,582,C1QC
9130,590,C4BPA
9130,19406,NEIL2
9130,5666,VTN
9130,1661,F2
9130,16627,LRG1
9130,2281,HIST1H1E
9130,1351,CYB5R3
9130,3717,PEBP1
9130,2925,KRT8
9130,5534,TUBB
9130,2309,HBB
9130,20863,HEPHL1
9130,21,A1BG
9130,511,BDNF
9130,4808,SRSF1
9130,164,AFM
9130,5975,SF3A2
9130,8983,CBX5
9130,2305,HBA1
9130,5533,TUBA3C
9130,297,APOC2
9130,2561,IAPP
9130,2917,KRT1
9130,180,AHSG
9130,4977,SNCA
9130,2213,GSN
9130,290,APOA2
9130,2215,GSR
9130,662,CALR
9130,4803,SFPQ
9130,1527,EIF4A1
9130,588,C4B
9130,7708,RACK1
9130,2927,KRT10
9130,289,APOA1
9130,2968,RPSA
9130,3868,PGK1
9130,178,AHCY
9130,3728,PRDX1
9130,3565,NME1
9130,3638,TKT
9130,263,ANXA5
9130,1571,ENO1
9130,2522,HSPA8
9130,4690,S100A4
9130,291,APOA4
9130,4065,PPIA
9130,2534,HSPD1
9130,91,ACTN1
9130,4062,PPBP
9130,5209,SERPINA7
9130,7970,PTGES3
9130,2519,HSPA5
9130,2640,IGHG1
9130,2793,ITIH2
9130,577,C1QBP
9130,301,APOE
9130,4694,S100A8
9130,465,B2M
9130,287,APLP1
9130,2319,SERPIND1
9130,2982,LDHA
9130,4744,SCO1
9130,2578,IDH3A
9130,3963,PLG
9130,262,ANXA4
9130,578,SERPING1
9130,2112,GPI
9130,2330,HDGF
9130,3825,SERPINF1
9130,3730,SERPINE1
9130,2926,KRT9
9130,3066,LUM
9130,586,C3
9130,172,AGT
9130,5403,CLEC3B
9130,2479,HPR
9130,8430,PARK7
9130,2207,PDIA3
9130,7018,PRDX6
9130,2101,GOT1
9130,1665,TF
9130,3939,PKM
9130,2431,HNRNPL
9130,463,AZGP1
9130,4398,RANBP1
9130,7652,AKR1A1
9130,8167,STIP1
9130,3895,SERPINA4
9130,2326,HTT
9130,4268,PSME1
9130,4624,RPS2
9130,4190,PRNP
9130,3715,P4HB
9130,3893,SERPINA1
9130,14189,NEIL1
9130,4037,PON1
9130,3967,SERPINF2
9130,2336,CFH
9130,3862,PGAM1
9130,4688,S100A2
9130,2216,GSS
9130,5599,UGDH
9130,2421,HNRNPA2B1
9130,602,C9
9130,2787,EIF6
9130,708,SERPINA6
9130,2585,CFI
9130,390,SERPINC1
9130,302,APOH
9130,2045,GLRA1
9130,1940,GAPDH
9130,12593,APOBR
9130,879,CFL1
9130,2427,HNRNPH1
9130,279,APCS
9130,6059,HIST1H2BC
9130,300,APOD
9130,599,C8B
9130,5111,HSPA13
9130,5531,TTR
9130,594,C5
9130,2643,IGHG4
9130,971,CLIC1
9130,16443,PGLYRP2
9130,303,APP
9130,5456,HSP90B1
9130,5292,PRDX2
9130,5170,TAC3
9130,1492,EEF1A1
9130,970,CLU
9130,2918,KRT2
9130,2624,IGFALS
960,148,ADRB1
960,2546,HTR1B
960,150,ADRB3
960,2545,HTR1A
960,149,ADRB2
14017,8972,SF3B1
2279,11596,HAO1
5713,1671,F10
6825,2094,GNRHR
515,400,ATOX1
515,4896,SLC6A2
515,22,A2M
515,3273,MPG
515,1665,TF
8187,1661,F2
2563,1478,ECHS1
2673,57,ACHE
222,2850,KCNJ11
222,5147,ABCC8
222,2841,KCNJ1
7930,62,ACOX1
4442,4206,PRSS1
2189,1401,DNTT
1273,931,CHRNA3
1273,932,CHRNA4
1273,934,CHRNA7
1273,6545,CHRNA6
1273,936,CHRNB2
2354,4206,PRSS1
242,4667,RRM1
242,11570,POLE3
242,10856,RRM2B
242,4015,POLA1
242,4019,POLE
242,3589,PNP
242,4020,POLE2
242,4668,RRM2
242,12756,POLE4
166,6491,SLC5A6
166,11351,LIPT1
166,8211,LIAS
4539,1264,CYP19A1
8931,2252,GUCY1A2
6413,4897,SLC6A3
841,149,ADRB2
841,1627,ESR1
841,148,ADRB1
6216,145,ADRA2A
6216,149,ADRB2
6216,2546,HTR1B
6216,147,ADRA2C
6216,1420,DRD1
6216,1421,DRD2
6216,1423,DRD4
6216,1422,DRD3
6216,2557,HTR7
6216,2555,HTR5A
6216,2545,HTR1A
6216,146,ADRA2B
6216,1328,HRH2
6216,2552,HTR2C
6216,2550,HTR2A
6216,148,ADRB1
6216,2556,HTR6
6216,142,ADRA1A
6216,1323,HRH1
6216,2551,HTR2B
2643,3124,MAOB
2643,2620,IGF1
5932,1806,FLT1
5932,5647,VEGFA
5932,1809,FLT4
872,461,AVPR2
872,459,AVPR1A
3182,1141,CS
5455,460,AVPR1B
3864,4125,PREP
8300,3921,PIK3CG
14004,4093,PPP2CA
2877,4410,RARB
6891,618,CA2
663,2192,NR3C1
2401,2984,LDHB
1225,1671,F10
1225,390,SERPINC1
2824,3659,ODC1
2824,4844,SHMT1
4136,1661,F2
998,2546,HTR1B
998,2547,HTR1D
7433,1540,CELA1
5812,1262,CYP17A1
661,639,CACNB2
661,632,CACNA1D
661,640,CACNB3
661,635,CACNA1S
661,641,CACNB4
661,6512,CACNA1I
661,143,ADRA1B
661,638,CACNB1
661,631,CACNA1C
661,629,CACNA1A
661,142,ADRA1A
661,2850,KCNJ11
661,2840,KCNH2
661,4898,SLC6A4
661,142,ADRA1D
661,6514,CACNA1G
661,634,CACNA1F
661,630,CACNA1B
661,4737,SCN5A
7157,1081,CPB1
4794,1240,CYP2B6
5255,696,CASR
5255,19714,ADGRF1
12023,2688,IL5RA
12023,1718,FCGR3A
9242,145,ADRA2A
9242,8353,NISCH
3331,9560,GAPDHS
8323,2641,IGHG2
1858,1209,CTSK
3736,4457,REN
5217,7485,NAMPT
2058,1759,FGFR2
2058,1756,FGFR1
1588,1917,GABRR2
1588,18936,GABRR3
1588,1907,GABRA5
1588,1914,GABRG3
1588,1905,GABRA3
1588,1913,GABRG1
1588,1910,GABRB3
1588,1912,GABRE
1588,1904,GABRA2
1588,1911,GABRD
1588,1909,GABRB1
1588,1903,GABRA1
1588,1916,GABRR1
1588,1915,GABRP
1819,1574,ENO3
1819,3768,PCK1
376,927,CHRM4
376,923,CHRM1
376,926,CHRM3
376,924,CHRM2
376,928,CHRM5
8499,686,CASP3
1861,2265,GYG1
1861,1927,GALE
1861,21412,GLT6D1
6947,1661,F2
11345,5662,TRPV1
11345,6553,TRPA1
11345,13928,TRPM8
11345,18521,TRPV3
5207,5404,TNF
5207,2676,IL1R1
350,4287,PTGS1
350,4457,REN
350,2841,KCNJ1
9330,1516,EGFR
4379,4457,REN
8113,4137,PRKACA
8113,4140,PKIA
4792,4206,PRSS1
1338,924,CHRM2
1338,930,CHRNA2
1338,926,CHRM3
545,57,ACHE
545,192,ALB
545,484,BCHE
2935,5456,HSP90B1
681,4737,SCN5A
3900,654,CALM1
3900,5440,TPI1
3900,4509,RNASE1
3900,8187,METAP2
9033,2790,ITGB7
9033,2773,ITGA4
7881,2640,IGHG1
1880,3223,MIF
457,146,ADRA2B
457,142,ADRA1D
457,145,ADRA2A
457,14704,KCNH6
457,15886,KCNH7
457,2840,KCNH2
457,143,ADRA1B
457,142,ADRA1A
8114,4140,PKIA
8114,4137,PRKACA
7069,6536,KYNU
4072,61,ACO2
13751,5404,TNF
13751,686,CASP3
13751,3039,LPL
13751,2503,HSD11B1
7785,102,ADA
565,930,CHRNA2
1977,3951,PLAU
3052,5218,TBXAS1
6851,3054,LTA4H
387,926,CHRM3
387,924,CHRM2
387,927,CHRM4
387,923,CHRM1
724,11185,TLR8
724,11159,TLR7
4285,4306,PTPN1
8137,834,CDK2
1132,3124,MAOB
1132,4056,PPARA
1132,4058,PPARG
1132,4057,PPARD
316,4287,PTGS1
316,2227,GSTP1
316,4288,PTGS2
316,1676,FAAH
316,5662,TRPV1
9300,924,CHRM2
9300,926,CHRM3
4521,2219,GSTA3
13894,6100,PLA2G10
692,143,ADRA1B
692,142,ADRA1D
692,145,ADRA2A
692,142,ADRA1A
4882,5425,TOP1
6652,991,CCR5
9083,500,HCN2
4258,5646,VDR
7689,26136,DHRS4L1
437,5702,XDH
6919,1661,F2
9129,2748,INSR
5150,303,APP
4899,3605,NPR1
4899,3607,NPR3
4899,3606,NPR2
3796,3994,PMP2
3796,4116,PPT1
3796,2956,LALBA
3796,4493,RHO
3796,2416,HNF4G
3796,1243,CYP2C8
3796,4056,PPARA
3796,9038,SEC14L2
3796,3723,PAEP
3796,9846,TRAPPC3
5483,5733,ZFY
5483,8895,UBR4
8169,1349,DHODH
7105,1661,F2
4074,483,BCAT2
6832,1628,ESR2
6832,6302,NCOA1
7567,1627,ESR1
7360,5118,AURKA
1042,4288,PTGS2
6937,1628,ESR2
3390,66,ACPP
8677,834,CDK2
470,1010,CNR2
470,1009,CNR1
7285,3251,MMP9
3227,21190,NMNAT3
3227,561,BST1
3227,13747,NMNAT1
7654,910,CHEK1
492,1304,ACE
4954,132,ADORA1
3012,1078,CPA1
697,147,ADRA2C
697,8353,NISCH
697,146,ADRA2B
697,145,ADRA2A
9258,390,SERPINC1
9258,1671,F10
9258,2319,SERPIND1
3765,4509,RNASE1
5343,4700,S100B
7015,1411,DPP4
7519,9103,BACE1
659,936,CHRNB2
659,2199,GRM5
8091,1142,MAPK14
8490,3255,MMP13
6927,6302,NCOA1
6927,1628,ESR2
6927,1627,ESR1
7094,3054,LTA4H
12965,22,A2M
12965,4056,PPARA
12965,192,ALB
12965,1077,CP
2115,196,ALDH2
5890,5647,VEGFA
6829,4306,PTPN1
85,333,RHOB
4474,4693,S100A7
1165,5428,TOP2A
665,209,AR
7162,2809,JAK2
1422,8187,METAP2
6515,5662,TRPV1
11166,1671,F10
11166,1661,F2
6241,747,CD4
11085,5349,TPO
2773,4287,PTGS1
3192,2508,HSD17B4
6436,2871,KDR
4080,5056,SRC
7187,209,AKR1B1
8136,834,CDK2
2837,3145,MBL2
11300,1675,F13B
11300,1674,F13A1
11300,1669,F8
11300,1761,FGG
11300,1740,FGB
11300,1672,F11
11300,1739,FGA
11300,1662,F2R
11300,1666,F5
11300,6563,F2RL3
3759,2176,GRIA2
8678,4314,PTPRB
4367,7530,TNK2
4367,973,CLK1
6237,6306,PDE5A
373,149,ADRB2
373,148,ADRB1
11217,5550,TYR
7128,1661,F2
5005,995,CCR9
7465,1411,DPP4
5773,1607,ERBB2
8395,1142,MAPK14
7270,1708,FBP1
1158,401,ATP1A1
5395,150,ADRB3
1320,4737,SCN5A
7540,834,CDK2
5075,1154,CSK
5075,1809,FLT4
5075,1806,FLT1
5075,2871,KDR
8059,3921,PIK3CG
8059,3917,PIK3CA
8059,3969,PLK1
8059,3922,PIK3R1
1029,2812,JUN
1029,173,AGTR1
8391,8069,PDE10A
1094,4838,SHBG
1094,6124,SOAT2
1094,4999,SOAT1
1094,3344,MTTP
54,583,C1R
54,6638,FCGR2C
54,582,C1QC
54,580,C1QA
54,1718,FCGR3A
54,1716,FCGR2A
54,1717,FCGR2B
54,2785,ITGB3
54,2771,ITGA2B
54,581,C1QB
54,1719,FCGR3B
54,5666,VTN
54,584,C1S
54,1714,FCGR1A
11421,15838,CHRFAM7A
6097,872,CENPE
7495,2527,HSP90AA1
1834,2222,GSTM1
1834,2227,GSTP1
3233,1447,DTYMK
848,931,CHRNA3
848,223,ALPPL2
7400,1661,F2
4079,4493,RHO
5767,2689,IL6
5767,2675,IL1B
5767,3537,NFKB2
5767,3536,NFKB1
5767,5404,TNF
6480,2554,HTR4
1016,2227,GSTP1
1016,1093,CPT1A
1016,883,CFTR
1016,7422,ABCC9
1016,6301,ABCB11
1016,34,ABCA1
1016,2845,KCNJ5
236,3789,PDE3A
6579,2685,IL4
8008,1349,DHODH
5316,2550,HTR2A
5316,1421,DRD2
6273,2690,IL6R
3791,5614,NR1H2
8123,834,CDK2
6586,4006,PNLIP
863,484,BCHE
863,1328,HRH2
863,57,ACHE
2485,12590,CMAS
193,16603,GRIN3A
193,4898,SLC6A4
193,923,CHRM1
193,2552,HTR2C
193,3674,OPRD1
193,934,CHRNA7
193,3675,OPRK1
193,4896,SLC6A2
193,926,CHRM3
193,3677,OPRM1
9014,7614,SIGMAR1
9014,1422,DRD3
9014,2552,HTR2C
3039,618,CA2
3726,4509,RNASE1
2458,2223,GSTM2
2458,2222,GSTM1
11120,4164,MAPK1
6168,2675,IL1B
7394,421,ATP5A1
7394,426,ATP5C1
7394,424,ATP5B
6689,1673,F12
6689,66,ACPP
6016,1422,DRD3
6016,1421,DRD2
6016,2550,HTR2A
6016,2551,HTR2B
6016,2545,HTR1A
6016,1323,HRH1
6081,5667,VWF
4753,3589,PNP
12418,619,CA3
8828,4963,SMO
3906,2407,HMOX1
11973,1595,EPHB4
11973,1510,EGF
11973,1607,ERBB2
11915,4932,VMAT2
1625,926,CHRM3
1625,927,CHRM4
7530,5646,VDR
7530,6302,NCOA1
7542,1205,CTSD
928,1397,DNMT1
8889,4245,PSMB8
8889,4239,PSMB2
8889,4242,PSMB5
8889,4238,PSMB1
8889,4247,PSMB9
8889,4248,PSMB10
7014,2212,GSK3B
2635,483,BCAT2
6472,2785,ITGB3
6472,2771,ITGA2B
1100,2840,KCNH2
1100,1422,DRD3
1100,654,CALM1
1100,1421,DRD2
