#virus-protein-id,virus-protein
84,GM|GM_HHV11|GM_HHV8P|GM_EBVB9|GM_EBVA8
85,VP35|VP35_EBOZM
86,P88935|P88935_HHV8
87,O92597|O92597_HHV8
88,GLYCP|GLYCP_NIPAV
89,O41949|O41949_MHV68
90,ICP0|ICP0_HHV11
91,TEG5|TEG5_HHV11
92,DNB2|DNB2_ADE05|DNB2_ADE02
93,B8ZX42|B8ZX42_9POLY
94,VL2|VL2_HPV31|VL2_HPV16|VL2_HPV11
95,MTP|MTP_EBVA8
96,EBNA5|EBNA5_EBVA8|EBNA5_EBVB9
97,Q69117|Q69117_EBVG
98,P88959|P88959_HHV8
99,P88988|P88988_MHV68
100,O41963|O41963_MHV68
101,VGPCR|VGPCR_HHV8P
102,BDLF2|BDLF2_EBVA8
103,VIE2|VIE2_HCMVA
104,VE1|VE1_BPV1|VE1_HPV31|VE1_HPV16|VE1_HPV6B
105,O41954|O41954_MHV68
106,Q6DP94|Q6DP94_9INFA
107,Q2PJP1|Q2PJP1_9INFA
108,Q6DPA0|Q6DPA0_9INFA
109,H9XIJ5|H9XIJ5_I75A3
110,Q2KRY7|Q2KRY7_ADE05
111,ORF3|ORF3_HEVCH
112,Q9DH70|Q9DH70_SV40
113,B4URE7|B4URE7_I33A0
114,VIL6|VIL6_HHV8P
115,CRMB|CRMB_VAR67
116,O09234|O09234_DEN26
117,A0A097PIH4|A0A097PIH4_9FLAV
118,Q1H8W6|Q1H8W6_CHIKV
119,SCAF|SCAF_HHV8P|SCAF_HHV11
120,VP8|VP8_BTV10
121,Q6VGS8|Q6VGS8_ADE05
122,VCCL3|VCCL3_HHV8P
123,TAT|TAT_HV1H2|TAT_HV2BE
124,J9Z5B4|J9Z5B4_9ADEN
125,VL1|VL1_HPV31|VL1_HPV16|VL1_HPV11|VL1_HPV18
126,ORF4|ORF4_HHV8P
127,Q1I2B2|Q1I2B2_I33A0
128,AGNO|AGNO_POVJC
129,P88983|P88983_MHV68
130,REV|REV_HV1BR|REV_HV1H2|REV_EIAVC
131,Q77UU1|Q77UU1_9PAPI
132,M0QUZ1|M0QUZ1_9ADEN
133,M0QUD6|M0QUD6_9ADEN
134,M0QVB0|M0QVB0_9ADEN
135,E9P568|E9P568_9ADEN
136,M0QVV7|M0QVV7_9ADEN
137,C4P226|C4P226_9ADEN
138,B9A6D9|B9A6D9_9ADEN
139,Q91CB6|Q91CB6_ADE09
140,B6DUB2|B6DUB2_9ADEN
141,B9A5V9|B9A5V9_9ADEN
142,M0QTU7|M0QTU7_9ADEN
143,M0QUH6|M0QUH6_9ADEN
144,B4URF7|B4URF7_I33A0
145,P88926|P88926_HHV8
146,Q3KSP2|Q3KSP2_EBVG
147,BILF1|BILF1_EBVB9
148,C5|C5_VACCW
149,P88924|P88924_HHV8
150,Q88489|Q88489_9FLAV
151,E7DBL9|E7DBL9_9ALPH
152,HBZ|HBZ_HTL1A
153,P89653|P89653_MHV68
154,TEG4|TEG4_HHV11
155,UL20|UL20_HHV11
156,TEG1|TEG1_HHV11
157,P88937|P88937_HHV8
158,ICP22|ICP22_HHV11
159,O92835|O92835_9FLAV
160,O41969|O41969_MHV68
161,VE8E2|VE8E2_HPV31
162,P88993|P88993_MHV68
163,VIF|VIF_HV112|VIF_HV1H2
164,ST|ST_SV40
165,Q77UU2|Q77UU2_9PAPI
166,Q6VE52|Q6VE52_9INFA
167,Q1K9H2|Q1K9H2_I33A0
168,Q9IBY5|Q9IBY5_MEASW
169,A4URT5|A4URT5_9MONO
170,UL56|UL56_HHV11
171,A46|A46_VACCW
172,Q1K9G9|Q1K9G9_I33A0
173,B4URF0|B4URF0_I33A0
174,W5QKN2|W5QKN2_9MONO
175,Q91MK2|Q91MK2_9MONO
176,M1VNY3|M1VNY3_9MONO
177,Q91NG9|Q91NG9_9MONO
178,Q917N9|Q917N9_LPMV
179,V|V_NIPAV|V_HENDH|V_MEASE
180,PHOSP|PHOSP_SENDO|PHOSP_MEASC|PHOSP_NDVB1|PHOSP_MOKV|PHOSP_RABVP|PHOSP_BDVV|PHOSP_NIPAV
181,Q98143|Q98143_HHV8
182,PB1F2|PB1F2_I33A0
183,UL84|UL84_HCMVA
184,D5|D5_VACCW
185,SPI2|SPI2_VACCW|SPI2_CWPXB
186,NEF|NEF_HV1H2|NEF_SIVG1|NEF_HV2BE
187,BNL2B|BNL2B_EBVA8|BNL2B_EBVB9
188,Q81983|Q81983_HPV05
